id,description,title
1,Администратор имеет неограниченные права на добавление/удаление/изменение данных в системе. Только администратор может назначать гида на поход.,admin
2,"Участник имеет возможность просматривать информацию о предлагаемых компанией походах, регистрироваться на них, просматривать списки необходимого в данном походе оборудования, а также имеющегося материально-технического обеспечения компании, брать оборудов",participant
3,"Гид может просматривать всю информацию о походах, требуемом/имеющемся в наличии оборудовании, составлять план похода (добавлять контрольные точки и время их прохождения).",guide
4,"Зритель может просматривать информацию о походе, на который зарегистрирован участник, добавивший его. Также он может получать информацию о пройденных участником контрольных точках.",spectator
